Issue Number,Username,Labels,State,Assignee,Milestone,Created At,Closed At,Created-Closed Time Difference(Days)
78,user1,,closed,none,none,1428438286,1428438292,6.94E-05
77,user1,,closed,none,none,1428435643,1428435651,9.26E-05
76,user2,,closed,none,none,1428426116,1428426119,3.47E-05
75,user1,,closed,none,none,1428367961,1428367980,0.000219907
74,user1,task|,closed,user1,none,1428367311,1428367565,0.002939815
73,user2,,closed,none,none,1428367163,1428367203,0.000462963
72,user2,generate script|task|,closed,user2,none,1428366887,1428367581,0.008032407
71,user1,enhancement|task|,closed,user1,none,1428366735,1428367083,0.004027778
70,user1,,closed,none,none,1428357518,1428357538,0.000231481
69,user2,,closed,none,none,1428295096,1428295101,5.79E-05
68,user2,,closed,none,none,1428279258,1428279265,8.10E-05
67,user2,,closed,none,none,1427847798,1427847809,0.000127315
66,user3,,closed,none,none,1427757539,1427769647,0.140138889
65,user3,,closed,none,none,1427757315,1427757320,5.79E-05
64,user3,,closed,none,none,1427572521,1427572526,5.79E-05
63,user3,enhancement|,closed,user3,Milestone-03/30,1427314556,1427314563,8.10E-05
62,user3,task|Training|,closed,user3,Milestone-03/30,1427242947,1427572554,3.814895833
61,user3,task|Training|,closed,user2,Milestone-03/30,1427242908,1427572564,3.815462963
60,user3,task|Training|,closed,user1,Milestone-03/30,1427242842,1427572574,3.816342593
59,user2,,closed,none,none,1427212766,1427212802,0.000416667
58,user3,Testing|,closed,user4,Milestone-03/30,1427164957,1427465751,3.481412037
57,user3,Training|,closed,user4,Milestone-03/30,1427156459,1427166403,0.115092593
56,user3,,closed,none,none,1427156317,1427156326,0.000104167
55,user1,,closed,none,none,1427073525,1427073924,0.004618056
54,user3,,closed,none,none,1426946937,1426946975,0.000439815
53,user3,enhancement|task|,closed,user2,Milestone-03/30,1426909076,1427572540,7.678981481
52,user3,enhancement|task|,closed,user2,Milestone-03/30,1426908905,1427242585,3.862037037
51,user3,enhancement|task|,closed,user2,Milestone-03/30,1426908813,1427242604,3.863321759
50,user3,generate script|task|,closed,user3,Milestone-03/30,1426908693,1427156702,2.870474537
49,user2,,closed,none,none,1426569848,1426569859,0.000127315
48,user3,bug|,closed,user1,Milestone-03/15,1425940911,1427073946,13.11383102
47,user2,bug|question|,closed,none,none,1425789989,1426031508,2.795358796
46,user3,,closed,none,none,1425765530,1425765534,4.63E-05
45,user1,,closed,none,none,1425753627,1425753633,6.94E-05
44,user3,,closed,none,none,1425745575,1425745579,4.63E-05
43,user3,generate script|task|,closed,user1,Milestone-03/07,1425428449,1425753729,3.764814815
42,user3,,closed,none,none,1425428025,1425428030,5.79E-05
41,user2,generate script|task|,closed,user2,Milestone-03/07,1425425017,1425765551,3.941365741
40,user3,,closed,none,none,1425360461,1425360467,6.94E-05
39,user2,,closed,none,none,1425174122,1425174127,5.79E-05
38,user1,,closed,none,none,1425070956,1425169493,1.140474537
37,user3,,closed,none,none,1424924065,1424924074,0.000104167
36,user3,task|team discussion|,closed,user2,105 Model,1424920225,1425434932,5.957256944
35,user3,bug|,closed,user1,Tasks for 02/27,1424919825,1425092703,2.000902778
34,user3,,closed,none,none,1424909521,1424909532,0.000127315
33,user3,task|Testing|,closed,user2,Tasks for 02/27,1424835193,1425257916,4.892627315
32,user3,task|Testing|,closed,user1,Tasks for 02/27,1424835158,1425099570,3.060324074
31,user3,task|Testing|,closed,user3,Tasks for 02/27,1424835108,1424924121,1.030243056
30,user3,task|Testing|,closed,user4,Tasks for 02/27,1424835057,1425263215,4.955532407
29,user3,,closed,none,none,1424834809,1424834817,9.26E-05
28,user2,,closed,none,none,1424831569,1424831575,6.94E-05
27,user2,,closed,none,none,1424829475,1424829503,0.000324074
26,user3,bug|,closed,user2,Tasks for 02/27,1424827321,1424829614,0.026539352
25,user2,,closed,none,none,1424824484,1424824494,0.000115741
24,user1,,closed,none,none,1424765009,1424765022,0.000150463
23,user2,,closed,none,none,1424669716,1424669731,0.000173611
22,user3,,closed,none,none,1424659030,1424659041,0.000127315
21,user1,,closed,none,none,1424655156,1424655165,0.000104167
20,user1,,closed,none,none,1424653830,1424653890,0.000694444
19,user3,,closed,none,none,1424645778,1424645804,0.000300926
18,user3,generate script|task|,closed,user3,Tasks for 02/27,1424642241,1424715955,0.853171296
17,user2,question|,closed,user3,none,1424471527,1424534576,0.729733796
16,user3,team discussion|,closed,user4,Tasks for 02/27,1424408744,1424659271,2.899618056
15,user3,generate script|Testing|,closed,user3,Tasks for 02/27,1424405399,1424641462,2.732210648
14,user3,enhancement|task|,closed,user1,Tasks for 02/27,1424404635,1424659103,2.945231481
13,user3,task|Training|,closed,user2,Tasks for 02/27,1424403832,1424888049,5.604363426
12,user3,task|Training|,closed,user1,Tasks for 02/27,1424403510,1425099349,8.05369213
11,user3,task|Training|,closed,user3,Tasks for 02/27,1424402973,1424834845,4.998518519
10,user3,help wanted|task|Training|,closed,user4,Tasks for 02/27,1424402759,1425261916,9.943946759
9,user3,bug|help wanted|,closed,user2,Tasks for 02/27,1424402127,1424670386,3.104849537
8,user3,bug|enhancement|,closed,user4,Tasks for Week#3,1423513554,1424875603,15.76445602
7,user3,enhancement|help wanted|task|,closed,user1,Tasks for Week#3,1423187937,1424655317,16.98356481
6,user3,enhancement|Training|,closed,user2,Data Collection and Preliminary Analysis,1423187756,1423583046,4.575115741
5,user3,task|,closed,user4,none,1422411625,1423510613,12.71976852
4,user3,task|,closed,user2,Data Collection and Preliminary Analysis,1422411547,1423187922,8.985821759
3,user3,task|,closed,user3,Data Collection and Preliminary Analysis,1422411479,1422944386,6.167905093
2,user3,bug|task|,closed,user1,Tasks for Week#3,1422411403,1423958521,17.90645833
1,user3,bug|,closed,user2,Tasks for Week#3,1422411294,1423684879,14.74056713
